,city,street,number
14156, г. Новоуральск, ул. Ленина,34
14157, Село Ополье, без улицы,42
14158, село Ефремкино, улица Трактовая,1
14159, Климщина, Без названия улицы,76
14160, с. Нагорское, ул. Центральная,37
14161, с. Крутиха, ул. Советская,93
14162, с. Нагорское, ул. Центральная,33
14163, п. Уктур, ул. Школьная,12
14164, ж дробь д ст.Просница, ул. Большевиков,8а
14165, г. Карпинск, ул. Куйбышева,54
14166, с. Курмыш, Трудовая ул.,46
14167, село Верховино, Центральная улица,1
14168, с. Вареж, ул. Школьная,18
14169, с. Азаровка, ул.Комсомольская,8
14170, д. Дубишно, ул. Центральная,31
14171, с. Говоренки, ул. Школьная,3
14172, Село Верховино, ул. Центральная,6 кв. 10
14173, с. Старокурманкеево, ул. Центральная,35
14174, Петрищево, ул. Молодежная,1
14175, с. Троицкое, ул. Сельская,1
14176, Деревня Летник, ул. Молодежная,1
14177, с. Новокутово, ул. Западная,31
14178, п. Софиевка, ул. Ленина,37 дробь 1
14179, г. Дзержинск, ул. Пожарского,2
14180, с. Сумки, ул. Ленинская,45
14181, село Елец-Маланино, ул. Дорожная,4
14182, село Кривец, ул. Новая,2
14183, с. Казенное, ул. Молодежная,21
14184, с. Яланское, ул. Набережная,74
14185, д.Елизарово, ул.Черёмушки,15
14186, д. Рочево, ул. Рябиновая,14
14187, с. Беляшево, ул. Матросова,16
14188, с. Струговка, Школьный пер.,11
14189, п. Тром-Аган, ул. Центральная д.2,2
14190, с. Выползово, ул. Центральная,1
14191, п. Степняки, ул. Школьная,15
14192, с. Староникольское, ул. Советская,34
14193, д. Кожары, ул. Гаражная,2
14194, Городской округ г. Курган, п. Керамзитный,11
14195, п. Элвг, ул. Б. Городовикова,18
14196, с. Кременки, ул. Новостройка,16
14197, с. Гвазда, ул. Ленина,7
14198, д. Петрищево, ул. Школьная,6
14199, с. Поды, ул. Рабочий поселок,5
14200, г. Лянтор, 3 мкр.,3 мкр.
14201, с. Мусирмы, ул. Гагарина,35
14202, Деревня Большой Ихтиал, ул. Труда,6
14203, д. Уваровка,,
14204, поселок Ровное, ул. Центральная,1
14205, Михейково, ул. Советская,22
14206, с. Раскатиха, ул. Пеньковская,2
14207, с. Волынцы, ул. Молодежная,0
14208, Деревня Кашнур, ул. Черемушки,20б
14209, д. Майлык, ул. Трудовая,15
14210, с. Усола, ул. Центральная,26
14211, Деревня Елизарово, ул. Черемушки,14
14212, село Коломыцево, улица Кольцова,1А
14213, с. Юца, ул. Октябрьская,
14214, с. Казенное, ул. Молодежная,23
14215, с. Кременки, ул. Новостройка,17
14216, с. Рухтино, пер. Больничный,2
14217, с. Голышина, ул.Центральная,22
14218, с. Ратницкое, 83,83
14219, г. Иваново, ул. Героя Советского Союза Сахарова,46
14220, д. Б. Ихтиал, ул. Труда,12
14221, село Бутырки, ул. Рабочая,11
14222, г. Лакинск, проспект Ленина,15А
14223, Село Беляево, ул. Школьная,3
14224, п. Инелей, ул. Ленинская,37
14225, с. Новое Никулино, ул. Центральная,2
14226, село Байчурово, переулок Советский,5
14227, с. Антушево, 110,110
14228, с. Черное, ул. Школьная,2
14229, с. Нижний Жирим, ул.Калинина,88
14230, ст-ца Кармалиновская, ул. Красная,80 дробь 1
14231, с. Марьины Колодцы, ул. Зелёная,9
14232, пгт. Кузино,,
14233, с. Масли, ул. Новая,6
14234, п. Светлые Поляны, ул. Центральная,5
14235, с. Егорьевка, Культурная улица,35
14236, г. Вуктыл, ул. Клубная,2
14237, п. Энгозеро, Советская ул.,12
14238, с. Давлетово, ул. Кусямышево,30
14239, с. Илеть, ул. Центральная,37
14240, с. Анастасьевка, пер. Школьный,2
14241, с. Шмаково, ул. Рабочая,20
14242, с. Чуюнчи, ул. Центральная,19
14243, п. Горное, ул. Садовая,3
14244, железнодорожная станция Улусарка, ул. Садовая,3
14245, Деревня Алдарово, ул. Нагорная,14
14246, с. Новый Мостяк, ул. Просвещение,5
14247, д. Стризнево, ул. Зеленая,12
14248, д. Патранино, ул. Школьная,2
14249, д. Вотланы, ул. Мира,1
14250, с. Никольское, ул. Комсомольская,32
14251, с. Парфёновка, пл. Революции,6
14252, д. Вишняково, ул. Центральная,34
14253, с. Нижний Жирим, ул. Калинина,47
14254, поселок городского типа Октябрьское, улица Ленина,40 (здание Бизнес - центра)
14255, поселок Плотбище, Лесная улица,16
14256, х. Красная Улька, ул. Новая,17
14257, с. Лидога, ул. Набережная,12Б
14258, с.Мариинский, ул.Молодежная,2А 
14259, с. Норваш-Шигали, ул. Молодцыгина,59
14260, с. Старая Мушта, ул. Мира,25А
14261, д. Стайки, ул. Центральная,55
14262, поселок Большие Леуши, Центральная улица,19В
14263, с. Кочковатка, ул. Юбилейная,13 дробь 1
14264, д. Великий Двор, 4,4
14265, г. Воркута, пер. Школьный,1
14266, Село Карага, ул. Лукашевского,22 дробь 1
14267, д. Шалдеж, ул. Новая деревня,2а
14268, с. Танрыкулово, ул. Советская,10
14269,  с.Молодьково, ул.Молодежная,17
14270,  с. Малая Ижмора, ул. Ивановка,140
14271, с. Лопьял, ул. Школьная,23
14272, с. Сара, ул. Калинина,70
14273,  с. Харба, ул. Партизанская,8а
14274, деревня Горки (Горковское СП), ул. Завражная,52
14275, с. Будукан, ул. Школьная,10-А
14276, с. Никольское,,
14277, Ополье, 41,41
14278, д. Малиновка, ул. Центральная,16
14279, Пигулино, ул. Центральная,1
14280, с. Семцы, ул. Щемелинина,34
14281, п. Белоусово, ул. Советская,2
14282, с. Знаменка, ул. Дзержинского,85
14283, п. Бурата, ул. Школьная,3
14284, Село Воямполка, ул. Тундровая,6
14285, д. Шадрино, Сельская ул.,63
14286, п. Большие Хутора, ул. Центральная,113
14287, село Порой, ул. Сельская,25
14288, село Знаменка, улица Дзержинского,76
14289, п. Белоусово, ул. Советская,10
14290, поселок Волгоэлектросетьстрой, ул. Дзержинского,5
14291, Поселок Коняево, без улицы,3
14292, пгт. Чупа, Прибрежная ул.,6А
14293, с. Алово, ул. Школьная,4
14294,  с. Черкасск, ул. Центральная,7
14295, с. Пады, ул. Верхняя,47
14296, Ново-Милятино, ул. Больничная,23
14297,  с. Вирга, ул. Школьная,7
14298, п. Приэтокский, ул. Чкалова,51
14299, с. Четыровка, ул. Центральная,63
14300, г. Куртамыш, ул. Матросова,14
14301, село Сергеевка, улица Ленина,63
14302, с. Танрыкулово, ул. Советская,12
14303, с. Алово, ул. Школьная,6
14304, с. Инкино, пер. Кооперативный,11
14305, с. Атажукино, ул. Апшева,30
14306, г. Йошкар-Ола, ул. Волкова,103
14307, д. Абултаево, ул. Школьная,1
14308, село Малая Грибановка, Советская улица,6
14309, г. Йошкар-Ола, ул. Волкова,110
14310, п. Суккозеро, ул. Гористая,3
14311,, Бурзянский район д. Саргая ул. Центральная 7,7
14312, с. Соловьевка, ул. Центральная,32
14313, с. Святица, ул.Свердлова,11
14314, с. Елизаветино, ул. Центральная,
14315,  с. Новое Чирково, ул. Новая,4-1
14316, Деревня Большой Сютик, ул. Молодежная,14
14317, пгт. Федоровский, ул. Савуйсткая,13
14318, с. Первомайское, ул. Молодежная,4
14319, у. Ехэ-Цакир, ул. Центральная,69
14320, с. Сетово, ул. Центральная,39
14321, п. Кузъёль, ул. Железнодорожная,24
14322, с. Травкино, ул. Школьная,10
14323, село Завальное, ул. Пионерская,37
14324, с. Кудара-Сомон, ул. Ломоносова,
14325, п. Зеленый Гай, ул. Набережная,1
14326, с. Мочегай, ул. Школьная,37
14327, с. Новокуровка, ул. Набережная,18
14328, с. Тагай, ул. Цветкова,18
14329, с. Чапаевское, ул. 50 лет Октября,50 лет Октября
14330, г. Уфа, ул. Блюхера,15 дробь
14331, у. Ехэ-Цакир, ул.Центральная,53А
14332,  с. Сухановка, ул. Полевая,6
14333, х. Индычий, ул. имени Куйбышева,3
14334, с. Тукаево, ул. Я.Чанышева,32
14335, д. Большой Зетым, ул. Центральная,17
14336, д. Сысоево, ул. Центральная усадьба,5
14337, г. Йошкар-Ола, ул. Пролетарская,68
14338, г. Отрадный, ул. Центральная,4
14339, Село Флорищи, Вторая,6
14340, село Карпенково, Центральная улица,34
14341, г. Кировск, нп Титан,5
14342, с. Караси,,
14343, с. Подозёрский, ул. Станционная,1
14344, село Лозное, ул. Магистральная,3
14345, село Черное Озеро, Центральная улица,3
14346, Поселок Новый, ул. Механизаторская,2
14347, г. Городец, пер. 1-й Пожарный,1-й Пожарный
14348, с. Кудажлейка, ул. Молодежная,9
14349, с. Обанино, ул. Центральная,32
14350, с. Обанино, ул. Центральная,14
14351, с. Знаменское, ул. Совхозная,
14352, г. Майкоп, ул. Ленина,31
14353, п. Малая Пера, ул. Лесная,8
14354, д. Филейка, ул. Коммуны,38а
14355, г. Пятигорск, ул. Энгельса,77
14356, д. Большой Зетым, ул. Центральная,15
14357, с. Ломаты, ул. Семипалаты,1
14358, Деревня Филейка, ул. Коммуны,74
14359, с. Воздвиженье, 16,16
14360, село Ломбовож, улица Новая,12Б
14361, село Махоново, ул. Ленина,19
14362, с. Снегуровка, ул. Парковая,21
14363, г. Советск, ул. Энергетиков,3
14364, с. Витемля, ул. Школьная,5
14365, Нетризово, ул. Молодежная,1
14366, с. Обанино, ул. Центральная,12
14367, с. Душатин, ул. Белорусская,39
14368, с. Верхний Перевал, ул. Речная,20
14369, д. Васильевка, ул. Луговая,9
14370, с. Дербетовка, пер. Кооперативный,1 дробь 6
14371, с. Калиновка, ул. Культуры,5
14372, с. Саратан, ул. Центральная,16
14373, д. Карандашово, ул. Набережная,4
14374, Деревня Плетеневская, ул. Центральная,11
14375,  ж дробь д_ст Кромщино, ул. Новая,9
14376, пгт. Светлая, ул. Речная,6
14377, с. Калиновка, ул. Культуры,7
14378, с. Салазгорь, ул. Эрькина,5
14379, г. Владимир, ул. Луначарского,15
14380, п. Суровский, ул. Лесная,101
14381, с. Шазагай, ул.Степанова,4а
14382, д. Романовка, ул. Ветеранов,23
14383, с. Красное, Подгорная ул.,3
14384, с. Селечня, ул. Первомайская,22
14385, село Мытищи, ул. Фрунзе,29
14386, г. Йошкар-Ола, ул. Краснофлотская,15
14387, рп. Усть-Абакан, ул.Кирова,38
14388,  п. Родниковский, ул. Солнечная,1
14389, г. Катайск, ул. Советская,34
14390, д. Баймурзино, ул. Ленина,7
14391, рп. Шайгино, ул. Вокзальная,51
14392, Городской округ город Чкаловск, ул. Советская,25
14393, д. Ушаково (Шварихинский с дробь с), ул. Юбилейная,9а
14394, с. Тавричанка, ул. Гагарина,15
14395, х. Бугулов, ул. Школьная,25
14396, с.  Кулаги, ул. Октябрьская,23
14397, с.  Белая Горка 1-я, ул. Коммунаров,1-я
14398, село Зеленое, Пантелеева,1
14399, с. Калиновка, ул. Культуры,4
14400,  с. Русская Норка, ул. Молодежная,15
14401, с.  Ляличи, ул. Мичурина,8
14402, станица Дагестанская, ул. Почтовая,4 А
14403, село Пустошь, 3. квартал,3. квартал
14404, д. Муважи, ул. Молодежная,11
14405, с. Ляличи, ул. Мичурина,10
14406, деревня Белогорье, ул. Мира,23
14407, д. Маза, ул. Школьная,8
14408, с. Русский Юрмаш, ул. Центральная,23
14409, д.Старое Хотмирово, ул.Школьная,1
14410, д. Берлячево, ул. Мира,6
14411, п. Бурул, ул. Южная,5
14412, с. Семёновка, пер. Школьный,22а
14413, д. Липовка, ул. Школьная,6
14414, с. Яново, ул. Батракова,4А
14415, д. Климщина, 71,71
14416, деревня Губинская, без. улицы,29
14417, д. Кунакбаево, ул. Шоссейная,21
14418, д. Большой Кельтей, пер. Центральный,1
14419, у. Верхний Торей, ул. Гармаева,29
14420, п. Бор, ул. Школьная,8
14421, п. Любимовка, ул. Садовая,11
14422, с. Юшково, ул. Школьная,1
14423, город Новоуральск, ул. Юбилейная,7
14424, п. имени Дзержинского, ул. Тельмана,32
14425, с. Кутлуюлово, ул. Школьная,1
14426, п. Рассвет, 27,27
14427, село Пашково, ул. Садовая,29
14428, с. Дивеев Усад, ул. Луначарского,18
14429, пгт. Кузино, ул. Боровичи,2
14430, п. Тростенчик, ул. Школьная,1
14431, с. Окуневское, ул. Школьная,22
14432, с. Полканово, ул. Кооперативная,7
14433, с. Большая Чесноковка, ул. Садовая,15.
14434, село Святославка, ул. Центральная,31
14435, с. Акжарское, ул. Степная,11
14436, д. Янзигитово, ул. С.Юлаева,1
14437, с. Нижнее Санчелеево, ул. Советская,73
14438, село Колшево, ул. Центральная,11
14439, Село Аянка, ул. Полярная,6
14440, с. Карабатово, ул. Новая,10
14441,  село Долгое (Бигильдинский с дробь с), ул. Советская,66
14442, Деревня Старое Ратово, Совхозная,67
14443, с. Заречный, ул. Горького,6
14444, п. Усть-Сахрай, ул. Советская,19
14445,  с. Русско-Никольское, ул. Центральная,41
14446, д. Шемелино, ул. Центральная,26
14447, Деревня Андреева Гора, без. улицы,19
14448, с. Творогово, ул.2-й,2-й
14449, д. Сергиополь, ул. Школьная,1
14450, с. Благовещенка, ул. Молодежная,10
14451, с. Краснореченский, ул. Горная,1
14452, с. Аянка, ул. Полярная,2
14453, п. Рассвет, 7,7
14454, Успенское, ул. Успенская,1
14455, д. Большое Береснево, ул. Приозёрная,2
14456, слобода Покрово-Казацкая, ул. Юбилейная,1А
14457, село Хреновое, Колхозная улица,1А
14458, п. Октябрьский, ул. Садовая,1
14459, с. Молоканово, ул. Центральная,32
14460, с. Великая Дуброва, ул. Советская,5
14461, п. Артезиан, ул. Мира,1
14462, с.Черное Озеро, ул. Советская,34
14463, с. Никольск, ул. Ленина,24
14464, село Чистополье, Молодежная улица,7
14465,  с. Григорьевка, ул. Центральная,6-2
14466, с. Серафимовский, ул. Дзержинского,4
14467, с. Обухово, ул. Школьная,18
14468, Село Ныр, ул. Свободы,7
14469, с. Богдашкино, ул. Колхозная,2Б
14470, с. Глушицы, ул. Центральная,10
14471, д. Филиппово, ул. Полевая,3 лит. А
14472, х. Мищенский, ул. Молодежная,17 дробь 1
14473, Село Старый Ирюк, ул. Пролетарская,3
14474, с. Нагибово, ул. Центральная,13В
14475, Бог.ский район, Октябрьская ул.,2
14476, п. Революционный, ул. Парковая,10
14477, деревня Бураши, улица Юбилейная,1
14478,с. Ямм,ул. Степанова,20
14479, с. Тулугановка, ул. Школьная,5
14480, поселок Мулымья, улица Набережная,43
14481, с. Луговец, ул. Крымская,6
14482, с. Курорта, ул. Ключевая,7
14483, село Пеньки, ул. Волжская,13
14484, Село Кучки, без улицы,2Б
14485, д. Зеглуд, ул. Центральная,13
14486, с. Донское, ул. Школьная,3 А
14487, х. Стародворцовский, ул. Ленина,30
14488, п. Революционный, ул. Парковая,12.
14489, село Ворон-Лозовка, ул. Дорожная,40
14490, с. Ржаница, ул. Лесная,7
14491, Деревня Архипята,без улицы ,41
14492, поселок Кобра, Полевая улица,4
14493, д. Юкаликулево, ул. Ленина,40
14494, с. Омми, ул. Лесная,2а
14495, с. Донское, ул. Школьная,5
14496, с. Нагибово, ул. Центральная 20,20
14497, Деревня Леваны, пер. Центральный,5
14498, рп. Старая Майна, ул. Комсомольская,31
14499,  с. Соловцовка, ул. Дачная,17-2
14500, с. Владимировка, ул. Школьная,2
14501, д. Дроздово, ул. Центральная,19
14502, п. Анненковский Карьер, ул. Новая,2А
14503, д.Старотатышево, ул.Советская,63
14504, с. Владимировка, ул. Школьная,4
14505, д. Килей-Казаккулово, ул. Центральная,19
14506, с. Чарозеро, ул. Центральная,14
14507, г. Шебекино, ул. Ленина,38
14508, село Курташки, улица Новая,6
14509, с. Борское, ул. Советская,28
14510, Муниципальное образование город Владимир, Поселок Заклязьменский,11А
14511, п. Воронцовка, ул. Серова,28
14512, с.Новые Юрковичи, ул. Советская,41
14513, с. Белогорское, ул. Клубная,30
14514, с. Аландское, ул. Широкая,23.
14515, д. Айтмембетово, ул. Молодежная,10
14516, село Захарово, ул. Покровская,14 дробь 2
14517, д. Переслегино, ул. Центральная,15
14518, Деревня Монастырево, ул. Школьная,15
14519, село Аннино, ул. Набережная,5
14520, с. Узкий Луг, ул.Ленина,36
14521, с. Полховский Майдан, ул. Ленина,84
14522, д. Абдрахимово,ул. Октябрьская,26-
14523, Село Обухово, ул. Коммуны,9
14524, п. Еланка (Еланское с дробь п), ул. Мира,19
14525, с. Жуковка, ул. Школьная,33
14526,  село Цекеево, ул. Просвещения,18
14527, село Жуковка, улица Школьная,34
14528, д. Раево, ул. И.Каримова,5
14529, д. Новое Домозерово,ул. Молодежная,1
14530, с. Ушаковка, ул. Комсомольская,20
14531, Деревня Русская Шуйма, ул. Советская,11
14532, с. Ачайваям, ул. Каюю,73 А
14533, с. Старотатышево, ул. Советская,50
14534, п. Новоселенгинск, ул. Горького,71
14535, село Ныр, Советская улица,13
14536, с. Пласковское, ул. Молодежная,6
14537, с. Жуковка, ул. Школьная,22
14538, х. Казенно-Кужорский, ул. Крупская,49
14539, село Приозерное, ул. Молодежная,6
14540, с. Зашижемье, ул. Больничная,4
14541, с. Беловка, ул. Центральная,32
14542, село Обухово, улица Коммуны,7
14543, Деревня Митино, ул. Набережная,12
14544, с. Чубовка, ул. Нефтяников,13
14545, Деревня Большой Приклон, Совхозная,5А
14546, с. Байса, ул. Школьная,1
14547, с. Узкий Луг, ул. Ленина,52
14548, д. Толиково, ул. Школьная,1
14549, Село Чахловка, ул. Епифанова,7
14550, с. Боровичи, ул. Центральная,9
14551, рп. Мокшан, ул. 1-ая Разведка,1-ая Разведка
14552, д. Казаково, ул. Клубная,5
14553, п. Пятисотенный, ул. 50 лет Победы,50 лет Победы
14554, с. Козловка, ул. Светлая,1.
14555, с. Казак-Кочердык,,
14556, с. Бурлы, ул. Фрунзе,1а
14557, Село Заречье, Центральная,82
14558, деревня Шапша, ул. Северная,1
14559, с. Песковатка, ул. Комсомольская,44
14560, с.Тан, ул.Школьная д.,
14561, г. Радужный, ул. Школьная,22
14562, село Народное, улица К.Маркса,16
14563, д. Шиловичи, 62,62
14564, с. Уймень, ул. Береговая,3
14565, с. Каймашабаш, ул. Полевая,6
14566, село Зашижемье, Советская улица,100
14567, Село Муша, ул. Октябрьская,8
14568, пгт. Пограничный, ул. Советская,111
14569, с. Бариновка, ул. Уральская,2
14570, с. Красный Яр, ул. Новая,16
14571, д. Вурман-Кибеки, ул. Школьная,1
14572, с. Найфельд, ул. Школьная,11
14573,  с. Долгово, ул. Ленинская,47А
14574, с. Большой Мартын, ул. Ленина,27 Б
14575, с. Чураево, ул. Яныша Ялкайна,35
14576, с. Уймень, ул. Березовая,10а
14577,  с. Лотаки, ул. Школьная,17
14578,  д. Леваны, ул. Школьная,2а
14579, п. Донаёль, ул. Первомайская,1
14580, с. Воронино (Зиняковский с дробь с), ул. Лесная,18 помещение П1
14581, Деревня Ефаново, ул. Заречная,8
14582, село Колбино, Советская улица,18
14583, с. Сотниково, ул. Тухочсвского,19
14584, д. Улу-Карамалы, ул. Пчеловодов,18
14585, Деревня Межищи, Полевая,45
14586,  с. Сюзюмское, ул. Зеленая,26-4
14587, село Красино, улица Молодежная,2
14588, д. Шилово, 33,33
14589, с. Междуречье, ул. Петра Марценюка,31
14590, д. Носково-2, 57,2
14591,  с. Валуец, ул.Школьная,9
14592, г. Печора, пер. Заречный,3
14593, с. Беляевка, ул. Комарова,3.
14594, с.Чеховка, ул.Новая,37
14595, г. Кемь, ул. Чапаева,5
14596, с. Нынек, ул. Юбилейная,1а
14597, с. Новое Ганькино, ул. Центральная,5
14598, с. Долгоруково, ул. Слепцова,
14599, с. Чернышевка, пер. Центральный,2
14600, поселок городского типа Усть-Баргузин, Пионерская улица,
14601, с. Изюбриный, ул. Лесная,25
14602, с. Зайцево, ул. Молодежная,2
14603, с. Новоюмашево, ул. Молодежная,6
14604, с. Мордовский Канадей, ул. Центральная,45
14605, г. Навашино, ул. Школьная,1
14606, с. Новые Параты, 102,102
14607, г. Ульяновск, ул. Станкостроителей,15
14608, с. Горенка, ул. Школьная,40
14609, с. Родники, ул. Солнечная,12
14610, с. Чемлыж, ул.Лушникова,30
14611, с. Куяново, ул. Центральная,16
14612, деревня Юдинка, без. улицы,7
14613, д. Воронино, ул. Центральная,63
14614, Село Дерюшево, ул. Колхозная,37а
14615, с. Селендума, ул. Школьная,29
14616, п. Бахчеево, ул. Горняцкая,21
14617, с. Зайцево, ул. Молодежная,10
14618, с. Мордовский Канадей, ул. Центральная,39
14619, с. Жемтала, ул. Ленина,134
14620, д. Ялангачево, ул. Центральная,13
14621, с. Нижняя Быковка, ул. Центральная,10В
14622, с. Вельяминова, ул. Кооперативная,25
14623, п. Мятлево, ул. Интернациональная,43
14624, с. Десятниково, ул.Ленина,55
14625, с. Октябрьское, ул. СПТУ-32,32
14626, город Омутнинск, улица Свободы,35
14627, с. Починки, ул. Октябрьская,1
14628, с. Малое Нагаткино, ул. Ликино,9
14629, д. Поляна, ул. Школьная,1
14630, г. Томск, ул. Ижевская,42
14631, с.Зириклы, ул.Дружбы,
14632, п. Передовой, ул.Краснополянская,20
14633, п. Красноармейский, ул. Школьная,1
14634, с. Сарлей, ул. Шоссейная,11а
14635, с. Аделькино, ул. Школьная,1
14636, д. Сажино, ул. Новая,1
14637, село Средняя Матренка, ул. Центральная,16
14638, г. Соль-Илецк, ул. Цвиллинга,18
14639, п. Присадовый, ул.Шоссейная,9
14640, с. Сухоречка, ул. Тополиная,19
14641,  с. Долгоруково, ул. Слепцова,19
14642, с.Слак. ул. Центральная, с.Слак. ул. Центральная,
14643, п. Медвеженский, ул. Школьная,27
14644, г. Вяземский, ул. Красный Орел,46
14645, с. Куяново, ул. Центральная,18
14646, с. Куракино, ул. Комсомольская,10
14647, с. Туктагулово, ул.Центральная,33а
14648, п. Сосновый Бор, ул. Центральная,61
14649, село Хамышки, ул. Советская,11 Б
14650, д. Ярабайкасы, ул. Молодежная,18
14651, с.Камышлытамак, ул.Школьная,1.
14652, с. Суходол, ул. Юбилейная,5
14653, с. Васильевское, ул. Школьная,3
14654, деревня Кучелапы, Советская улица,22
14655, Деревня Кочкино, ул. Новая,14
14656, с. Туктагулово, ул. Центральная,58а
14657, с. Боровичи, ул. Западная,5
14658, д. Листвянка, ул. Советская,10
14659, с. Напас, ул. Школьная,4
14660, с. Сухринское, ул. Трактовая,20
14661, с. Светлый Дол, пер. Центральный,6
14662, с.Новоямское, ул.Молодежная,17
14663, с. Новотроицкое, ул. Центральная 16,16
14664, п. Совхозный, ул. Мира,2 А
14665, село Курчум, Советская улица,9
14666, с. Крестниково, ул. Церковная,7
14667, село Бородино,,
14668, с. Новотроицкое, ул. Центральная,28
14669, с. Подгорное, ул. Школьная,12
14670, с. Новодевичье, ул. Центральная,57а
14671, д. Кыква, ул. Советская,5
14672, с. Новоямское, ул. Молодежная,7
14673, с. Палочка, ул. Молодежная,26
14674, п. Сарул, ул. Степная,6
14675,  с. Липлейка, ул. Школьная,1
14676, с. Нижний Икорец, ул. Молодежная,18
14677, с. Криуши, Затон,
14678, с. Липлейка, ул. Школьная,10
14679, с. Суккулово, ул. Школьная,11
14680, с. Гавриловка, ул. Новая,1.
14681, село Новодевичье, улица Центральная,98
14682, д. Кочкино, ул. Новая,18
14683, д. Кыква, ул. Советская,9
14684, г. Уфа, ул. Майкопская,60
14685, с. Давыдовка,,
14686, пгт Вохтога, пер. Свободы,3
14687, село Тименка, без. улицы,57
14688, д. Верхнебиккузино, ул. Набережная,18
14689, д. Абдрашитово, ул. Айская,49б
14690, поселок Ленинская Искра, улица Ленина,
14691, с. Кубенское, улица Ленина,14а
14692, х. Тамбукан, ул. Кирова,30
14693, п. Задорожный, ул. Школьная,7
14694, с. Башкирское, ул. Советская,15
14695, с. Вятское, ул. Дружбы,7
14696, с. Вятское, ул. Дружбы,9
14697, Муниципальное образование город Владимир, Деревня Никулино,14
14698, с. Малая Глушица, ул. Гагарина,19
14699, Поселок Болотский, Коммунальная,4
14700, г. Алексеевка, Привокзальная ул.,5
14701, город Павловск, проспект Революции,8
14702, с. Поляковка, ул. Казанка,1
14703, с. Бар, ул. Школьная,16а
14704, Село Бельтюги, ул. Клубная,3А
14705, п. Каменка, ул. Набережная,25
14706, у. Улекчин, ул. Центральная,124
14707, п. Мещеряковский, ул. Советская,12
14708, с. Костыгин Лог, ул. Центральная,20
14709, с. Сосновка, ул. Школьная,14
14710, с. Марьевка, ул. Пенькова,31
14711, п. Палана, ул. Поротова,19
14712, ст-ца Георгиевская, ул. Молодежная,4
14713, г. Белорецк, ул. Ленина,105
14714, село Становое, ул. Троицкая,38 дробь 1
14715, п. Рогалево, ул. Рабочая,2а
14716, с. Юламаново, ул. Заозерная,12
14717, рп. Дедовичи, ул. Интернациональная,26А
14718, Корево, ул. Ямская,2
14719, г. Перевоз, ул. Молодежная,21
14720, с. Коломыцево, ул. Солнечная,3
14721, Село Хороши, ул. Молодежная,1
14722, аул. Уллуби-Юрт, ул. 60 лет Октября,60 лет Октября
14723, Деревня Пижинерь, ул. Береговая,21
14724, ст-ца Галюгаевская, ул. Бражненко,12
14725, у. Улекчин, ул.Центральная,107
14726, с. Озерное, ул. Мира,25
14727, д. Николаевка, ул. Зеленый Дол,41
14728,  с. Михайловка, ул. Советская,98
14729, с. Корево, ул. Ямская,6
14730,  д. Алексеевка, ул. Садовая,18
14731, с. Сосновка, ул. Школьная,18
14732, хутор Новорослов, ул. Центральная,4
14733, с. Чуюнчи-Чупаново, ул. Миляш,32
14734, с. Сумки, ул.Красивая,59
14735, с. Михеевка, ул. Новая,32
14736, с. Бриакан, ул. Гаражная,1
14737, г. Уфа ул. Калинина, г. Уфа ул. Калинина,81
14738, с. Октябрьское, ул. Озерная,9
14739, г. Сибай, улица Горького,6
14740, д. Желтики, ,10
14741, с. Юдановка, ул. Советская,11а
14742, с. Малая Воложикья, пл. Центральная,7
14743, пгт. Суземка, ул. Некрасова,1
14744, д. Молчаны, ул. Широкая,38б
14745, село Лойма, ул. Центральная,77
14746, п. Вострогский, 7,7
14747, х.  Малеванный, ул. Российская,3 дробь 2
14748, д. Артемьевская, ул. Новая,69
14749, Деревня Редькино, ул. Центральная,2
14750, д. Володино, ул. Юбилейная,3
14751, с. Заюково, ул. Дикинова,5
14752, с. Муханово, ул. Больничная,25
14753, село Русские Найманы, улица Центральная,34
14754, д. Ташаулово, ул. Луговая,4
14755, с. Успенка, ул. Советская,30
14756, д. Большое Песочное, ул. Центральная,40
14757, Село Весеннее, ул. Калужская,2А
14758, село Тетеревино, ул. Центральная,3
14759, ст-ца Галюгаевская, ул. Моздокская,42
14760, п. Ляшево, ул. Набережная,11.
14761, улус Чесан, Школьная улица,21-1
14762, с. Анясево, ул. Центральная,1
14763, с. Тирлянский, ул. Первомайская,75
14764, д. Воробьево,,
14765, с. Алешкино, ул. Ленина,55А
14766, д. Калайкасы, ул. Молодежная,3
14767, с. Лагерево, ул. Молодежная,14
14768, д. Васильевское, ул. Центральная,32
14769, с. Старые Маклауши, ул. Варгалы,1
14770, с. Белоярка 1-я, ул. Нижняя,1-я
14771, д. Шихабылово, ул. Зеленая,52
14772, Деревня Бобровы, ул. Молодежная,1
14773, д. Богданово, ул. Школьная,1
14774, д. Володино, ул. Юбилейная,16
14775, д. Усть-Хойза, ул. Школьная,4
14776, п. Новоипатово, ул. Первомайская,3
14777, с. Малая Воложикья, пл. Центральная,2
14778, село Мечетка, Ленинская улица,86
14779, с. Веровка, ул. Веровка,19
14780, с. Янтиково, пр-кт Ленина,21
14781, с. Воробьевка, ул. Мира,55
14782, п. Колхозный, ул. Центральная,20
14783, с. Обутковское, ул. Т.Дрязгова,2
14784, п. Бороздиновский, ул. Спортивная,6
14785, деревня Воскресенское, ул. Садовая,32
14786, Село Большой Рой, ул. Трудовая,5б
14787, с. Сайраново, ул. Интернациональная,39
14788, д. Красная Звезда, ул. Центральная,21
